City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Karratha,-20.7377,116.8463,80.22,65,17,8.14,AU,2021-03-03 23:38:45
68,Iqaluit,63.7506,-68.5145,-0.4,78,90,16.11,CA,2021-03-03 23:33:54
69,Khatanga,71.9667,102.5,-37.91,77,0,6.46,RU,2021-03-03 23:37:08
70,Isangel,-19.55,169.2667,79.02,88,100,17.6,VU,2021-03-03 23:34:09
71,Cidreira,-30.1811,-50.2056,76.75,89,100,6.26,BR,2021-03-03 23:34:09
72,Pevek,69.7008,170.3133,2.21,83,100,0.2,RU,2021-03-03 23:34:20
73,New Norfolk,-42.7826,147.0587,66.99,57,95,7.0,AU,2021-03-03 23:34:07
74,Moindou,-21.6924,165.677,80.6,74,0,3.44,NC,2021-03-03 23:38:47
75,Punta Arenas,-53.15,-70.9167,59.0,41,20,16.11,CL,2021-03-03 23:36:58
76,Ribeira Grande,38.5167,-28.7,61.75,90,100,17.22,PT,2021-03-03 23:38:47
77,Zambezi,-13.5432,23.1047,63.99,95,82,2.82,ZM,2021-03-03 23:38:48
78,Nanortalik,60.1432,-45.2371,37.63,76,100,23.44,GL,2021-03-03 23:38:48
79,Pochutla,15.7432,-96.4661,87.8,55,75,11.5,MX,2021-03-03 23:34:32
80,Kahului,20.8947,-156.47,78.8,53,20,17.27,US,2021-03-03 23:38:20
81,Kapaa,22.0752,-159.319,75.2,64,40,20.71,US,2021-03-03 23:33:50
82,Necochea,-38.5473,-58.7368,75.99,80,88,3.0,AR,2021-03-03 23:38:49
83,Anadyr,64.75,177.4833,1.4,85,90,55.92,RU,2021-03-03 23:38:50
84,Montepuez,-13.1256,38.9997,69.91,99,100,4.38,MZ,2021-03-03 23:38:50
85,Tadine,-21.55,167.8833,82.72,74,99,3.49,NC,2021-03-03 23:38:51
86,Flinders,-34.5833,150.8552,72.0,66,31,4.0,AU,2021-03-03 23:33:45
87,Neyshabur,36.2133,58.7958,47.26,56,39,2.06,IR,2021-03-03 23:38:51
88,Huarmey,-10.0681,-78.1522,74.88,73,52,9.33,PE,2021-03-03 23:38:51
89,Caravelas,-17.7125,-39.2481,76.3,85,31,6.04,BR,2021-03-03 23:38:51
90,Upernavik,72.7868,-56.1549,4.23,94,100,13.06,GL,2021-03-03 23:38:52
91,Hasaki,35.7333,140.8333,41.0,70,75,9.22,JP,2021-03-03 23:38:52
92,Diego De Almagro,-26.3667,-70.05,62.46,59,0,2.66,CL,2021-03-03 23:38:53
