City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
60,Kodiak,57.79,-152.4072,33.8,80,90,9.22,US,2021-03-05 15:37:11,snow
61,Yellowknife,62.456,-114.3525,5.0,85,75,19.57,CA,2021-03-05 15:37:11,snow
62,Henties Bay,-22.116,14.2845,73.38,57,0,15.03,NA,2021-03-05 15:37:11,clear sky
63,Hunchun,42.8675,130.3581,10.81,70,2,14.85,CN,2021-03-05 15:37:12,clear sky
64,East London,-33.0153,27.9116,73.4,73,0,8.05,ZA,2021-03-05 15:37:12,clear sky
65,Vestmannaeyjar,63.4427,-20.2734,44.6,87,75,9.22,IS,2021-03-05 15:37:12,broken clouds
66,Hermanus,-34.4187,19.2345,77.0,57,0,7.0,ZA,2021-03-05 15:37:12,clear sky
67,Nichinan,31.6,131.3667,59.88,85,97,6.13,JP,2021-03-05 15:37:13,overcast clouds
68,Victoria,22.2855,114.1577,69.01,93,92,13.98,HK,2021-03-05 15:36:22,overcast clouds
69,Porto Empedocle,37.2934,13.5264,52.0,84,98,4.59,IT,2021-03-05 15:37:13,overcast clouds
70,Felipe Carrillo Puerto,19.5833,-88.05,86.49,52,12,3.38,MX,2021-03-05 15:37:14,few clouds
71,Cabo San Lucas,22.8909,-109.9124,69.01,88,40,3.27,MX,2021-03-05 15:35:26,scattered clouds
72,Linguere,15.3953,-15.1193,104.0,15,0,4.61,SN,2021-03-05 15:37:14,clear sky
73,Nakonde,-9.3421,32.745,63.9,92,94,2.21,ZM,2021-03-05 15:37:15,overcast clouds
74,Ankazoabo,-22.2833,44.5167,73.49,88,91,1.07,MG,2021-03-05 15:37:15,light rain
75,Castro,-24.7911,-50.0119,66.54,95,100,11.18,BR,2021-03-05 15:37:15,overcast clouds
76,New Norfolk,-42.7826,147.0587,53.6,62,90,12.66,AU,2021-03-05 15:37:15,overcast clouds
77,Obihiro,42.9172,143.2044,36.73,91,49,2.35,JP,2021-03-05 15:37:16,scattered clouds
78,Mar Del Plata,-38.0023,-57.5575,66.2,59,75,17.27,AR,2021-03-05 15:34:51,broken clouds
79,Ponta Do Sol,32.6667,-17.1,64.4,59,40,17.27,PT,2021-03-05 15:37:17,scattered clouds
80,Plettenberg Bay,-34.0527,23.3716,68.54,75,0,8.21,ZA,2021-03-05 15:37:17,clear sky
81,Pisco,-13.7,-76.2167,77.0,83,20,6.91,PE,2021-03-05 15:37:17,few clouds
82,Pitimbu,-7.4706,-34.8086,87.8,66,40,16.11,BR,2021-03-05 15:37:18,scattered clouds
83,Urumqi,43.801,87.6005,28.4,93,75,2.24,CN,2021-03-05 15:36:35,light snow
84,Kati,12.7441,-8.0726,100.4,10,0,4.61,ML,2021-03-05 15:37:18,clear sky
85,Vostok,46.4856,135.8833,-15.84,89,99,5.68,RU,2021-03-05 15:37:18,overcast clouds
86,Pudozh,61.8099,36.5345,10.62,96,99,4.54,RU,2021-03-05 15:37:19,overcast clouds
87,Hobart,-42.8794,147.3294,53.6,62,90,12.66,AU,2021-03-05 15:37:19,overcast clouds
88,The Valley,18.217,-63.0578,84.2,69,20,13.8,AI,2021-03-05 15:37:19,few clouds
89,Ilulissat,69.2167,-51.1,21.2,79,20,8.05,GL,2021-03-05 15:37:19,few clouds
90,Sarangani,5.4033,125.4636,82.51,76,51,22.66,PH,2021-03-05 15:37:20,broken clouds
91,Khatanga,71.9667,102.5,-20.72,85,68,10.87,RU,2021-03-05 15:37:20,broken clouds
92,Tiznit,29.5833,-9.5,61.05,53,0,14.63,MA,2021-03-05 15:37:20,clear sky
93,Rawson,-43.3002,-65.1023,72.5,51,17,23.73,AR,2021-03-05 15:37:05,few clouds
94,Antofagasta,-23.65,-70.4,77.0,60,0,8.05,CL,2021-03-05 15:37:21,clear sky
95,Villanueva De La Serena,38.9766,-5.7974,55.99,80,100,4.0,ES,2021-03-05 15:37:21,overcast clouds
96,Lompoc,34.6391,-120.4579,46.0,93,90,3.44,US,2021-03-05 15:37:22,fog
97,Chokurdakh,70.6333,147.9167,-7.92,91,100,19.15,RU,2021-03-05 15:37:22,light snow
98,Usinsk,65.9939,57.5281,-1.97,92,100,7.43,RU,2021-03-05 15:37:22,overcast clouds
99,Wajir,1.7471,40.0573,102.2,21,75,10.2,KE,2021-03-05 15:37:23,broken clouds
100,Constitucion,-35.3333,-72.4167,65.91,70,10,10.25,CL,2021-03-05 15:37:23,clear sky
101,Coihaique,-45.5752,-72.0662,69.8,43,0,5.82,CL,2021-03-05 15:35:43,clear sky
102,Avarua,-21.2078,-159.775,75.2,100,20,1.14,CK,2021-03-05 15:37:24,few clouds
103,Port Elizabeth,-33.918,25.5701,73.4,68,20,10.36,ZA,2021-03-05 15:37:24,few clouds
104,Sao Filipe,14.8961,-24.4956,72.14,70,31,16.15,CV,2021-03-05 15:37:24,scattered clouds
105,Grindavik,63.8424,-22.4338,44.6,87,75,18.41,IS,2021-03-05 15:37:25,broken clouds
106,Madang,-5.2246,145.7966,76.77,88,100,7.27,PG,2021-03-05 15:37:25,very heavy rain
107,Rundu,-17.9333,19.7667,78.76,49,66,3.98,NA,2021-03-05 15:37:25,broken clouds
108,Flinders,-34.5833,150.8552,64.0,74,99,1.01,AU,2021-03-05 15:37:27,overcast clouds
109,Saldanha,-33.0117,17.9442,80.6,34,0,10.36,ZA,2021-03-05 15:37:27,clear sky
110,Gwanda,-20.9333,29.0,79.0,41,1,8.25,ZW,2021-03-05 15:37:27,clear sky
111,Deputatskiy,69.3,139.9,-22.41,85,100,11.59,RU,2021-03-05 15:37:27,overcast clouds
112,Hue,16.4667,107.6,77.0,94,20,3.44,VN,2021-03-05 15:37:28,few clouds
113,Alofi,-19.0595,-169.9187,75.2,100,100,3.44,NU,2021-03-05 15:37:28,overcast clouds
