City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
630,Buchanan,LR,82.4,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
631,Kupang,ID,79.0,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
633,Laem Sing,TH,82.99,few clouds,12.4816,102.0738,Laemsing Whitehouse Resort
635,Keti Bandar,PK,76.03,clear sky,24.1447,67.4497,Haji laloo memon house
636,Sabya,SA,84.2,clear sky,17.1495,42.6254,Aseel Hotel Apartment
637,Salinopolis,BR,82.38,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
639,Alyangula,AU,84.2,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
642,Jerez,GT,80.6,clear sky,14.1,-89.75,Auto hotel Esmeralda
643,Fare,PF,82.83,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
645,Kaeo,NZ,57.0,few clouds,-35.1,173.7833,Bushido Lodge
647,San Rafael,AR,80.98,clear sky,-34.6177,-68.3301,Hotel San Rafael
649,Guia De Isora,ES,73.99,broken clouds,28.2115,-16.7795,La Vista Pension
652,Colares,PT,60.01,scattered clouds,38.7992,-9.4469,Arribas Sintra Hotel
654,Luwuk,ID,78.28,light rain,-0.9516,122.7875,Hotel Santika Luwuk
656,Ribas Do Rio Pardo,BR,82.18,overcast clouds,-20.4431,-53.7592,Pousada Avenida
660,Luena,AO,77.0,light rain,-11.7833,19.9167,Hotel Kandamba
661,Marsa Matruh,EG,61.38,scattered clouds,31.3525,27.2453,Beau Site
662,Sarankhola,BD,72.23,scattered clouds,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
666,Tocopilla,CL,74.59,clear sky,-22.092,-70.1979,Hotel Galvarino
670,Ponta Delgada,PT,60.8,few clouds,37.7333,-25.6667,Vila Nova Hotel
671,Sagua La Grande,CU,75.2,light rain,22.8067,-80.0756,Hotel Telégrafo
672,Jiangyou,CN,56.43,light rain,31.7667,104.7167,Shangping Shuyuan Inn
673,Moree,AU,62.6,clear sky,-29.4667,149.85,Molika Springs Motel
675,Liku,ID,74.55,light rain,-0.7275,119.8922,Agoes Liverpool
676,Zaragoza,ES,68.0,scattered clouds,41.6561,-0.8773,Hotel Goya
677,Diffa,NE,91.26,clear sky,13.3154,12.6113,ProDAF/Diffa
678,Epe,NG,88.65,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
679,Gurupi,BR,86.38,broken clouds,-11.7292,-49.0686,Via Norte Hotel
680,Bilma,NE,88.43,clear sky,18.6853,12.9164,Expeditions Ténére voyages
681,Florianopolis,BR,89.01,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
682,Parrita,CR,78.01,few clouds,9.5201,-84.3225,Beso del Viento
683,Hualmay,PE,77.58,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
684,Rome,US,55.0,clear sky,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
